time,latitude,longitude,depth,mag,magType,Magnitude,gap,dmin,rms,net
2021-07-23T08:06:13.324Z,30.4979,141.4301,10,4.3,mb,5.27706,132,2.95,0.88,us
2021-07-20T06:56:22.549Z,33.6621,141.044,73.86,4.3,mb,5.27706,123,1.164,1.02,us
2021-07-19T23:41:23.404Z,36.9628,142.3738,35,4.5,mb,5.3665,108,3.371,0.71,us
2021-07-19T10:23:16.819Z,37.4657,142.8409,10,4,mb,5.16,186,3.595,1.2,us
2021-07-18T21:56:17.283Z,32.2432,141.7377,10,4.6,mb,5.41464,138,1.84,0.67,us
2021-07-18T10:11:06.691Z,36.97,139.2056,10,4.5,mb,5.3665,120,0.907,0.61,us
2021-07-18T09:50:08.836Z,36.9787,139.1938,10,4.6,mb,5.41464,134,0.903,0.76,us
2021-07-18T05:35:50.918Z,33.9999,133.8743,40.78,4.6,mb,5.41464,65,0.267,0.52,us
2021-07-17T16:21:38.130Z,37.5737,141.8193,51.25,4.3,mb,5.27706,105,3.066,0.89,us
2021-07-17T11:49:59.304Z,33.6171,131.825,63.64,5.2,mww,5.2,31,1.714,0.6,us
2021-07-17T09:07:51.407Z,36.3146,137.6439,10,4.2,mb,5.23576,103,0.507,0.72,us
2021-07-17T04:27:41.318Z,33.7477,141.7963,10,4.2,mb,5.23576,112,1.773,1.2,us
2021-07-16T22:52:19.196Z,42.3657,144.3027,35,4.4,mb,5.32064,182,0.92,0.57,us
2021-07-16T11:50:39.278Z,33.1641,139.4569,18.25,4.3,mb,5.27706,64,0.277,0.35,us
2021-07-16T06:01:49.156Z,33.1046,139.3865,10,4.3,mb,5.27706,98,0.358,0.36,us
2021-07-16T05:51:42.590Z,33.2932,139.5494,10,4.4,mb,5.32064,91,0.283,0.62,us
2021-07-16T04:54:55.074Z,33.2742,139.4827,10,4.5,mb,5.3665,91,0.295,0.56,us
2021-07-16T04:30:02.295Z,33.2096,139.4151,10,4.2,mb,5.23576,120,0.321,1.03,us
2021-07-16T04:19:57.961Z,33.2825,139.5273,11.53,5.4,mww,5.4,39,0.269,0.81,us
